Make Nats?,School,NATS,UT-Austin,Rickards,Palatine,Boyceville,Seven Lakes,Dick Smith,Raymond Park,BirdSO Mini,Fairfax,Westlake,SONI,Camas,Rice,Carnegie-Mellon,Solon IP,Solon Sat,SOLVI,UC Davis,Duke,Ohio State,MIT,UChicago,North Pocono IP,North Pocono Sat,Cornell,High Desert,SOAPS,Princeton,Mentor,Yale,San Marino,Golden Gate,BirdSO Sat,UMSO,SOUP,Northwestern,Mt. Vernon,LA Tech,Mason,Louisville,Lexington
FALSE,Springfield H.S. OH,,,,,,,,,,,22.68055942,,,,,27.58158578,,,,,,,,,,,,,,28.21335138,,,,,15.033657,,,,,,,
FALSE,Belmont Public H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.68446055
TRUE,"Iolani School Honolulu, HI",33.69429683,,,,,,,,18.20485248,,,4.715796493,,,,,10.12857381,,,1.96697192,,22.78544441,,,,,,,,,2.449637612,,16.66327933,,,,,,,,,
FALSE,LASA TX,30.06714873,9.835085267,,,,16.03947639,,,,,,10.24479714,,11.51699138,,,,,,,,22.3660804,,,,,,,,,,,23.78548744,,,,,,,,,
FALSE,"Portola H.S. Irvine, CA",,,18.42415618,,16.338868,,,,,,,11.06234858,,,,,,,,,,,,,,,,,,,2.449637612,,25.3711866,,,,,,,31.24231901,,
TRUE,"Ed W. Clark H.S. Las Vegas, NV",26.60076065,,,,,9.891941888,,,,,,13.65402847,,,,,,28.42183896,,,,,,,,,,21.12762084,,,,,,15.78609122,,,,,,,,
FALSE,St. Edward H.S. OH,,,,,,,,,,,27.32322426,,,,,21.99826882,,,,,25.07843259,,,,,,,,,18.28004429,,,,,,,,,,,,
FALSE,Mayfield H.S. OH,,,,,,,,,,,13.39197505,,,,,18.17248294,,,,,17.03534963,,,,,,,,,31.41402569,,,,,,,16.77448123,,,23.64924908,,
FALSE,"Staten Island Technical H.S. New York, NY",,,,,,,,,18.47860966,,,,,,,,,,,,,,,,,,,,,,,,,14.54526309,,33.9680194,,,,,,
FALSE,"Syosset H.S. Syosset, NY",,,,,15.36303974,,,,22.86190777,,,,,,,,,,,,,21.25755746,,,,,30.78441389,,,,,,,,,,4.375951626,,,,,
