Nats Rank,State,School,Highlands,UT-Austin,Rickards,Cypress Falls,Cornell,Palatine,BullSO,Boyceville,Seven Lakes,Dick Smith,Northview,Great Oak,Camas,Valley Forge,Marquette,Fairfax,Prestonwood,Long Island,Mira Loma,Pembroke Hill,SOAPS,Aggie,Carnegie-Mellon,MIT,North Pocono,Columbia,BirdSO IP,Solon,Harvard,Yale,High Desert Sat,Brown,Loyola,Golden Gate,BirdSO Sat,UMichigan,UMass,SOUP,Northwestern
,CA,American H.S. CA,,,,,,,,,,,,,,,,,,,24.3942158,,,,,,,,,,,,,,,32.89616381,,,,,
,MA,Winchester H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,23.92311001,,,,,22.97080464,,,10.10204459,,,9.268133107,,27.1621039,,
,VA,"Fairfax H.S. Fairfax, VA",,,,,17.71803399,,,,,,,,,,,,,,,,,,,25.53998227,,,,,,,,,,,,,,29.22133955,
,CA,"Portola H.S. Irvine, CA",,,,,,,11.78493384,,,,,25.06447316,,,,,,,,,,,,,,,32.00642504,,,,,,,8.365718443,,,,,
,OH,New Albany H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.06052988,,,,,,,17.59344269,,,,
,OH,Beachwood H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.55664683,,,,,,,,27.20007789,,,
,GA,"Fulton Science Academy Roswell, GA",,,10.38636115,,,,,10.87801366,,,,,,,,,,,,,,,,,,,,,,,,,,,30.81070132,,,,
,GA,"Walton H.S. Marietta, GA",,,10.55442525,,,,,21.36834131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OH,"Westlake H.S. Westlake, OH",,,,,,,,,,,19.16340903,,,,,,,,,,,,15.08344299,,,,,25.06410729,,,,,,,,23.16163838,,,
,NY,"Ithaca H.S. Ithaca, NY",,,,,17.0811112,,,,,,,,,,,,,,,,20.9445264,,,,21.24763796,,,,,,,,,,,,23.33155078,,
30,FL,Boca Raton Community H.S. FL,,,,,,,,,,,,,,,,,,,,,,,,29.6738576,,,,,,,,,,,23.8082692,,,,
,NJ,Hillsborough H.S. NJ,,,,,,,,,,,,,,,,,,,,,,,,29.81720957,,,,,,,,,,,12.49650122,,,,
,IN,Northridge H.S. IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.68425186,
31,FL,Orlando Science H.S. FL,,,11.85933601,,,,2.583763098,,,,,,,,,,,,,,,,,29.57905295,,,,,,17.18455817,,,,,,,,,
,CA,Mira Loma H.S. CA,,,,,,,,,,,,17.50312371,,,,,,,19.09867429,,,24.9401237,,,,,,,,,,,,18.67730912,,,,,
,FL,F.W. Buchholz H.S. FL,,,19.64649037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MI,Saline H.S. MI,,,,,,,,,,,19.8174503,,,,,,,,,,,,,,,,,23.38195244,,,,,,,,22.81296855,,,
32,RI,Barrington H.S. RI,,,,,,,,,,,,,,,,,,,,,,,,24.75466196,,,,,,,,20.99085277,,,,,,,
,MI,"East Lansing H.S. East Lansing, MI",,,,,,,,9.141433904,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.13801161,,,
,NY,Mount Academy NY,,,,,,,,,,,,,,,,,,18.25159439,,,,,,,21.37045668,,,,,,,,,,,,24.10411869,,
,MI,"Athens H.S. Troy, MI",,,,,,,,,,,18.55115954,,,,,,,,,,,,,,,,,,,,,,,,,27.69720725,,,
,CA,"Diamond Bar H.S. Diamond Bar, CA",,,,,,,,23.64895314,,,,,,,,,,,,,,,,,,,16.43768888,,,,,,,,22.49370219,,,,
,VA,"Lake Braddock Secondary Burke, VA",,,,,,,,4.163684152,,,,,,,,8.127864726,,,,,,,,,,,,,,,,,,,7.172287671,,,,
,FL,American Heritage Plantation FL,,,,,26.94237128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CA,Mountain House H.S. CA,,,,,,,,,,,,,,,,,,,18.19229653,,,19.27995378,,,,,,,,,,,,21.06985699,14.28867287,,,,
,NY,Columbia H.S. NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.48506571,
,OH,Northview H.S. OH,,,,,,,,,,,9.231340123,,,,,,,,,,,,,,,,,,,,,,,,,26.1926676,,,
,IL,Neuqua Valley H.S. IL,,,,,,24.01302739,,,,,,,,,,,,,,,,,,,,,,,,,,,22.86565678,,,,,,
,PA,Conestoga H.S. PA,,,,,,,,,,,,,,26.14380095,,,,,,,,,,,,,,,,,,,,,,,,,
