Appearances,1st,2nd,3rd,4th,Overall Rank,State Rank,Make Nats?,Nats Rank,Overall Score,State,School,SONT 2022,Highlands,UT-Austin,Rickards,Cypress Falls,Cornell,Palatine,BullSO,Boyceville,Seven Lakes,Dick Smith,Northview,Great Oak,Camas,Valley Forge,Marquette,Fairfax,Prestonwood,Long Island,Mira Loma,Pembroke Hill,SOAPS,Aggie,Carnegie-Mellon,MIT,North Pocono,Columbia,BirdSO IP,Solon,Harvard,Yale,High Desert Sat,Brown,Loyola,Golden Gate,BirdSO Sat,UMichigan,UMass,SOUP,Northwestern
7,20.99843492,10.03218386,8.862275548,8.700549525,129,22,FALSE,,14.69890445,CA,"Northwood H.S. Irvine, CA",,8.700549525,,8.862275548,,,,8.357682673,10.03218386,,,,,,,,,,,,,,5.148624022,,,,,20.99843492,,,,1.539783906,,,,,,,,
1,20.96716525,,,,130,2,FALSE,,14.67701567,MN,Wayzata H.S. MN,20.96716525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20.7894774,,,,131,1,TRUE,40,14.55263418,AL,"Auburn H.S. Auburn, AL",20.7894774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20.74873606,14.27398523,,,132,23,FALSE,,14.52411524,CA,"Canyon H.S. San Diego, CA",,,,,,,,,,,,,20.74873606,,,,,,,,,,,,,,,14.27398523,,,,,,,,,,,,
1,20.67810694,,,,133,19,FALSE,,14.47467486,NY,Half Hollow Hills H.S. East NY,,,,,,,,,,,,,,,,,,,20.67810694,,,,,,,,,,,,,,,,,,,,,
3,20.64268355,15.62767856,9.43994196,,134,8,FALSE,,14.44987849,MA,Wellesley H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,20.64268355,,,,,15.62767856,,,,,,9.43994196,,,,
2,20.61485748,12.32805295,,,135,11,FALSE,,14.43040023,OH,Mentor H.S. OH,,,,,,,,,,,,12.32805295,,,,,,,,,,,,,,,,,20.61485748,,,,,,,,,,,
1,20.60287597,,,,136,11,FALSE,,14.42201318,PA,Hershey H.S. PA,,,,,,,,,,,,,,,20.60287597,,,,,,,,,,,,,,,,,,,,,,,,,
3,18.67216669,14.15626817,13.97545462,,137,20,FALSE,,14.41649573,NY,Fayetteville-Manlius Senior H.S. NY,,,,,,13.97545462,,,,,,,,,,,,,,,,,,,,18.67216669,,,,,,,,,,14.15626817,,,,
2,20.48060371,15.64496505,,,138,2,FALSE,,14.3364226,MD,"River Hill H.S. Clarksville, MD",,,,,,,,,,,,,,,20.48060371,,15.64496505,,,,,,,,,,,,,,,,,,,,,,,
3,20.4804369,14.76593871,4.985685963,,139,2,FALSE,,14.33630583,NH,Phillips Exeter Academy NH,,,,,,,,,,,,,,,,,,,,,,,,,14.76593871,,,,,,,,20.4804369,,,4.985685963,,,,
3,19.44299246,13.74893117,12.61805121,,140,12,FALSE,,14.23288916,PA,North Penn H.S. PA,,,,,,,,,,,,,,,13.74893117,,,,,,,,,,,12.61805121,,,,,,,,,,,,,19.44299246,
2,20.25529601,8.847398147,,,141,12,FALSE,,14.17870721,OH,Hudson H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.25529601,,,,,,,,8.847398147,,,
3,20.03499171,8.032801482,1.753529328,,142,2,FALSE,,14.0244942,NV,"Davidson Academy Reno, NV",,,,8.032801482,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.753529328,,,20.03499171,,,,,
2,18.84107635,16.57605783,,,143,24,FALSE,,13.88629543,CA,Amador Valley H.S. CA,,,,,,,,,,,,,,,,,,,,,,,16.57605783,,,,,,,,,,,,,18.84107635,,,,
1,19.79110145,,,,144,11,FALSE,,13.85377102,MI,Eisenhower H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.79110145,,,
2,18.24066504,17.14924258,,,145,6,FALSE,,13.8375352,IL,Waubonsie Valley H.S. IL,,,,,,,18.24066504,,,,,,,,,,,,,,,,,,,,,,,,,,,17.14924258,,,,,,
3,19.5310084,9.463972891,4.992984254,,146,7,FALSE,,13.67170588,NJ,"Governor Livingston H.S. Berkeley Heights, NJ",,,,,,,,,9.463972891,,4.992984254,,,,,,,,,,,,,,,,19.5310084,,,,,,,,,,,,,
1,19.42546192,,,,147,1,TRUE,41,13.59782334,AZ,Catalina Foothills H.S. AZ,19.42546192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19.35976137,,,,148,1,TRUE,42,13.55183296,OR,St. Mary's Academy OR,19.35976137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19.22552493,,,,149,8,FALSE,,13.45786745,NJ,Princeton H.S. NJ,,,,,,,,,,,,,,,19.22552493,,,,,,,,,,,,,,,,,,,,,,,,,
3,17.46200476,13.12158307,12.97600708,,150,25,FALSE,,13.42350733,CA,Pleasant Grove H.S. CA,,,,,,,,,,,,,,,,,,,,13.12158307,,,12.97600708,,,,,,,,,,,,17.46200476,,,,,
1,19.06506112,,,,151,5,FALSE,,13.34554279,IN,Whiting H.S. IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.06506112
4,17.66457376,14.09995586,9.911948818,8.333427757,152,2,FALSE,,13.30701267,WA,"Camas H.S. Camas, WA",,,,,,,,,,,,,,14.09995586,,,,,,8.333427757,,,,,,,,9.911948818,,,17.66457376,,,,,,,,,
1,18.89120829,,,,153,1,TRUE,43,13.2238458,ND,Century H.S. ND,18.89120829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18.85589322,12.88348708,,,154,3,FALSE,,13.19912526,NH,Bedford H.S. NH,,,,,,,,,,,,,,,,,,,,,,,,,18.85589322,,,,,,,,12.88348708,,,,,,,
3,18.01733354,14.81456939,8.61597532,,155,26,FALSE,,13.05505787,CA,"Irvington H.S. Fremont, CA",,,,,,,,,8.61597532,,,,,,,,,,,,,,14.81456939,,,,,,,,,,,,18.01733354,,,,,
1,18.54550765,,,,156,13,FALSE,,12.98185536,OH,Sylvania Southview H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.54550765,,,
3,15.19184689,14.21766376,12.93294384,,157,9,FALSE,,12.93283215,MA,Newton South H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.19184689,,,12.93294384,,,,,14.21766376,,
3,18.43855743,13.45411978,4.593988842,,158,13,FALSE,,12.9069902,PA,Shipley School PA,,,,,,,,,,,4.593988842,,,,13.45411978,,,,,,,,,,,,,,,,,,,,,,,,18.43855743,
2,18.42500894,7.280527119,,,159,1,TRUE,44,12.89750626,IA,Ames H.S. IA,18.42500894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.280527119,,,,
