Make Nats?,School,Nats,UT-Austin,Rickards,Cornell,Palatine,Boyceville,Seven Lakes,Dick Smith,Camas,Fairfax,SOAPS,Carnegie-Mellon,MIT,North Pocono,BirdSO Mini,Solon,Yale,High Desert,Golden Gate,BirdSO Sat,SOUP,Northwestern
FALSE,Wilbraham and Moson Academy MA,,,,,,,,,,,,,14.8488269,,,,,,,,,
FALSE,Noble and Greenough School MA,,,,,,,,,,,,,,,,,,,,,,
FALSE,Saint Ignatius H.S. OH,,,,,,,,,,,,,,,,14.72075034,,,,,,
FALSE,"Plattsburgh H.S. Plattsburgh, NY",,,,14.55938726,,7.445360704,,,,,,,,,,,,,,,,
TRUE,Little Rock Central H.S. AR,14.54031188,,,,,,,,,,,,,,,,,,,,,
FALSE,JR Masterman School PA,,,,,,,,,,,,,,,,,,,,,14.40014139,
FALSE,"W.T. Woodson H.S. Fairfax, VA",,,,,,,,,,14.39669656,,,,,,,,,,,,
FALSE,Vestal H.S. NY,,,,14.32005487,,,,,,,,,,,,,,,,,,
FALSE,Grosse Pointe South H.S. MI,,,,,,,,,,,,,,,,,,,,,,
FALSE,Beacon Academy IL,,,,,,,,,,,,,,,,,,,,,,14.28773722
FALSE,Brookline H.S. MA,,,,,,,,,,,,,14.26539842,,,,,,,,,
FALSE,"Boston Latin School Boston, MA",,,,,,,,,,,,,,,,,,,,,,
TRUE,Burr and Burton Academy VT,14.20356355,,,,,,,,,,,,,,,,,,,,,
FALSE,The Winsor School MA,,,,,,,,,,,,,14.19976008,,,,,,,,,
FALSE,Laguna Creek H.S. CA,,,,,,,,,,,,,,,,,,,,8.413202059,,
FALSE,Loyola H.S. NY,,,,,,,,,,,,,,,,,,,,,,
TRUE,"Brookings H.S. Brookings, SD",14.05246181,,,,,,,,,,,,,,,,,,,,,
FALSE,"Pocono Mountain East H.S. Swiftwater, PA",,,2.394506169,,,,,4.298218013,,,13.18108862,,,11.84964425,,,,,,,,
FALSE,Pilgrim H.S. RI,,,,,,,,,,,,,13.97470728,,,,,,,,,
FALSE,Weston H.S. MA,,,,,,,,,,,,,,,,,,,,,,
FALSE,St. Edward H.S. OH,,,,,,,,,,,,,,,,13.93564365,,,,,,
FALSE,E.O. Smith H.S. CT,,,,,,,,,,,,,,,,,12.06854467,,,,,
FALSE,Parsippany H.S. NJ,,,,,,,,,,,,,,,,,,,,,13.82891807,
FALSE,Saratoga H.S. CA,,,,,,,,,,,,,,,,,,,12.52802307,,,
FALSE,Leigh H.S. CA,,,,,,,,,,,,,,,,,,,13.54290941,,,
FALSE,"Reservoir H.S. Fulton, MD",,,,,,,,8.959272611,,8.903220243,,,,,,,,,,12.59956515,,
FALSE,Nashua H.S. South NH,,,,,,,,,,,,,,,,,,,,,,
FALSE,Boyceville H.S. WI,,,,,,,,,,,,,,,,13.43410378,,,,,,
FALSE,Macomb Dakota H.S. MI,,,,,,,,,,,,,,,,,,,,,,
FALSE,"Valencia H.S. Placentia, CA",,,,,,,,,,,,,,,11.98920542,,,,,11.86560989,,
FALSE,"Walter Johnson H.S. Bethesda, MD",,,,,,,,,,13.26754389,,,,,,,,,,,,
FALSE,"McLean H.S. McLean, VA",,,,,,,,,,13.26754389,,,,,,,,,,,,
FALSE,Detroit Country Day Upper School MI,,,,,,,,,,,,,,,,,,,,,,
FALSE,South High Community School MA,,,,,,,,,,,,,,,,,,,,,,
